eButterfly_species,GBIF_species,GBIF_verbatimScientificName,LepTraits_name,BAMONA_name,Chowdhury_name,aveWingspan,black,gray,white,brown,red,orange,yellow,green,blue,pink,purple,eyespot,stripe,checker,tail,band,spot,colorDiversity,featureDiversity,is_migratory,notes
Eurema boisduvaliana,,Abaeis boisduvaliana,,,,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,
Eurema daira,Eurema daira,,,,,5.614285715,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,1,TRUE,
Eurema mexicana,,"Abaeis mexicana, Abaeis mexicana mexicana",,,,4.12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,TRUE,
Eurytides marcellus,Protographium marcellus,,Eurytides marcellus,Neographium marcellus,,7.871,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,2,FALSE,
Feniseca tarquinius,Feniseca tarquinius,,,,,2.88,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,5,1,FALSE,
Ganyra josephina,Ganyra josephina,,,,,7.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,FALSE,
Glaucopsyche lygdamus,"Glaucopsyche lygdamus, Cupido orcus",,,,,2.67,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,FALSE,
Heliconius charithonia,Heliconius charithonia,,,,,8.29,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,TRUE,
,Heliopetes ericetorum,,Heliopetes ericetorum,Heliopetes ericetorum,,3.2,,,,,,,,,,,,0,0,0,0,0,0,,0,,
Heliopetes laviana,Heliopetes laviana,,,,,3.654166667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,
Heliopetes macaira,Heliopetes macaira,,,,,3.25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,FALSE,
Hemiargus ceraunus,Hemiargus ceraunus,,,,,NA,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3,2,FALSE,
Hermeuptychia hermybius,Hermeuptychia hermybius,,,Hermeuptychia hermybius,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,
Hermeuptychia sosybius,Hermeuptychia sosybius,,,,,3.325,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,FALSE,
Hermeuptychia sosybius,Hermeuptychia hermes,,,,,3.325,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,FALSE,
Hesperia colorado,,"Hesperia colorado, Hesperia colorado dodgei, Hesperia colorado idaho, Hesperia colorado leussleri, Hesperia colorado leussleri, Hesperia colorado ochracea, Hesperia colorado oregonia, Hesperia colorado tildeni",,,,2.85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,FALSE,
